2026.07.20 13:05:46 | core.stats_api | ERROR | Error: 404 Not Found <!DOCTYPE html><html lang="en"><head><meta charSet="utf-8" data-next-head=""/><meta name="viewport" content="width=device-width" data-next-head=""/><title data-next-head="">Dead by Daylight | Page Not Found</title><meta name="description" content="The Dead by Daylight Official Stats Tracker lets you deep dive into your match history to track kills, escapes, Perk use, character performance, and everything in between.  Enjoy valuable insights on your progress in The Fog." data-next-head=""/><meta name="image" content="/static/images/share.jpg" data-next-head=""/><meta property="og:title" content="Dead by Daylight | Page Not Found" data-next-head=""/><meta property="og:description" content="The Dead by Daylight Official Stats Tracker lets you deep dive into your match history to track kills, escapes, Perk use, character performance, and everything in between.  Enjoy valuable insights on your progress in The Fog." data-next-head=""/><meta property="og:image" content="/static/images/share.jpg" data-next-head=""/><meta property="og:image:alt" content="Dead by Daylight | Page Not Found" data-next-head=""/><meta property="og:url" content="https://stats.deadbydaylight.com/404/" data-next-head=""/><meta property="og:type" content="website" data-next-head=""/><meta property="og:site_name" content="Dead by Daylight" data-next-head=""/><meta name="twitter:title" content="Dead by Daylight | Page Not Found" data-next-head=""/><meta name="twitter:description" content="The Dead by Daylight Official Stats Tracker lets you deep dive into your match history to track kills, escapes, Perk use, character performance, and everything in between.  Enjoy valuable insights on your progress in The Fog." data-next-head=""/><meta name="twitter:image" content="/static/images/share.jpg" data-next-head=""/><meta name="twitter:image:alt" content="Dead by Daylight | Page Not Found" data-next-head=""/><meta name="twitter:card" content="summary_large_image" data-next-head=""/><meta name="twitter:creator" content="DeadbyDaylight" data-next-head=""/><meta name="robots" content="noindex, nofollow" data-next-head=""/><link rel="alternate" hrefLang="x-default" href="https://stats.deadbydaylight.com/404" data-next-head=""/><link rel="alternate" hrefLang="fr" href="https://stats.deadbydaylight.com/fr/404" data-next-head=""/><link rel="alternate" hrefLang="es" href="https://stats.deadbydaylight.com/es/404" data-next-head=""/><link rel="alternate" hrefLang="de" href="https://stats.deadbydaylight.com/de/404" data-next-head=""/><link rel="alternate" hrefLang="pt" href="https://stats.deadbydaylight.com/pt/404" data-next-head=""/><link rel="alternate" hrefLang="ja" href="https://stats.deadbydaylight.com/ja/404" data-next-head=""/><link rel="alternate" hrefLang="zh" href="https://stats.deadbydaylight.com/zh/404" data-next-head=""/><link rel="alternate" hrefLang="zht" href="https://stats.deadbydaylight.com/zht/404" data-next-head=""/><link rel="alternate" hrefLang="ru" href="https://stats.deadbydaylight.com/ru/404" data-next-head=""/><link rel="canonical" href="https://stats.deadbydaylight.com/404" data-next-head=""/><link rel="icon" href="/favicon.svg" sizes="any"/><link rel="manifest" href="/manifest.json"/><link rel="preload" href="/_next/static/media/68180864d7f93f02-s.p.woff2" as="font" type="font/woff2" crossorigin="anonymous" data-next-font="size-adjust"/><link rel="preload" href="/_next/static/media/1e41be92c43b3255-s.p.woff2" as="font" type="font/woff2" crossorigin="anonymous" data-next-font="size-adjust"/><link rel="preload" href="/_next/static/css/0ad15fb5f9d8882a.css" as="style"/><link rel="stylesheet" href="/_next/static/css/0ad15fb5f9d8882a.css" data-n-g=""/><noscript data-n-css=""></noscript><script defer="" noModule="" src="/_next/static/chunks/polyfills-42372ed130431b0a.js"></script><script src="https://cmp.osano.com/AzytefSbMtwBu8HAA/92438bbe-e6b5-42de-a84e-b315f250ae91/osano.js" defer="" data-nscript="beforeInteractive"></script><script src="/_next/static/chunks/webpack-d3e4f9e3ec55109e.js" defer=""></script><script src="/_next/static/chunks/framework-e1fe9760b484fc49.js" defer=""></script><script src="/_next/static/chunks/main-ff534f91e31147a5.js" defer=""></script><script src="/_next/static/chunks/pages/_app-5772e48952f04e33.js" defer=""></script><script src="/_next/static/chunks/pages/404-39ae456404a52bf7.js" defer=""></script><script src="/_next/static/6Hqk93ZVdjhfVax8eyIdH/_buildManifest.js" defer=""></script><script src="/_next/static/6Hqk93ZVdjhfVax8eyIdH/_ssgManifest.js" defer=""></script></head><body><div id="__next"><div id="app" class="flex w-full flex-col overflow-clip font-sans __variable_ad9d8d __variable_ab14c8 __variable_7c046f __variable_03ed79 __variable_bcd532" data-theme="dbd"><div class="relative top-0 left-0 right-0 z-50 lg:sticky w-full pointer-events-none"><div aria-hidden="true" role="alert" class="invisible transition-all duration-500 pointer-events-auto"></div></div><div class="fixed bottom-0 left-0 right-0 z-50 w-full 3xl:max-w-content px-4 sm:px-10 2xl:px-24 3xl:px-0 pb-10 pointer-events-none mx-auto"><div aria-hidden="true" role="alertdialog" aria-live="polite" aria-atomic="true" class="flex items-end justify-center invisible transition-all duration-500" data-cy="alertdialog"></div></div><div id="scrollContainer" class="group/scroll-wrapper h-full flex flex-col justify-stretch relative text-white before:z-10 before:fixed before:bottom-0 before:left-0 before:h-16 lg:before:h-28 before:w-full before:pointer-events-none before:bg-linear-to-t before:from-surface-black before:from-20% before:to-surface-dark/0 before:transition-all before:ease-in-out before:duration-300 data-bottom:before:opacity-0" data-bottom="true" data-sticky-picker="true"></div></div></div><script id="__NEXT_DATA__" type="application/json">{"props":{"pageProps":{"_nextI18Next":{"initialI18nStore":{"en":{"common":{"common":{"close":"Close","sign-in":"Sign In","statistics":"Statistics","go-back":"Go back","error-page":{"404":"404 Error","title":"We can’t find that page","description":"Sorry, the page you are looking for doesn't exist or has been moved.","meta":{"title":"Page Not Found"}},"go-home":"Take me home","today":"Today","footer":{"about-us":"About Us","privacy-policy":"Privacy Policy","terms-of-use":"Terms of Use","support":"Support","copyright":"© {{year}} and BEHAVIOUR, DEAD BY DAYLIGHT and other related trademarks and logos belong to Behaviour Interactive Inc. All rights reserved.","talk-games":"Talk Games With Us","links":{"about-us":"https://www.bhvr.com/about-us/","privacy-policy":"https://www.bhvr.com/privacy-policy/","terms-of-use":"https://www.bhvr.com/terms-of-use/","support":"https://support.deadbydaylight.com/hc/en-us/requests/new"}},"bhvr":{"website":"https://bhvr.com","title":"Behaviour Interactive"},"notifications":{"error":{"generic":{"title":"An error has occurred","description":"Please try again later."},"login":{"title":"An error has occurred","description":"The connection to your Behaviour account has failed. Please try again later."},"expired":{"title":"Session Expired","description":"Your session has expired. Please log in again."},"network":{"title":"Network Error","description":"A network error occurred. Please check your connection and try again."}}},"recent-match-history":"Recent Match History","add-platform":"Link Game Accounts","sync-progress":"Sync progress","sync-more":"Sync more platforms","cross-prog-enabled":"Cross-progression enabled","logout":"Log out","providers":{"psn":"Playstation","steam":"Steam","egs":"Epic Games Store","xbox":"Xbox","xbl":"Microsoft/Xbox","xblStarbreeze":"Microsoft/Xbox","xblXuid":"Microsoft/Xbox","nintendo":"Nintendo","grdk":"Microsoft Store","bhvr":"Behaviour Account"},"expand-all":"Expand all","collapse-all":"Collapse all","faq-short":"FAQ","faq-long":"Frequently asked questions","submit-request":"Report an issue","submit-request-link":"https://support.deadbydaylight.com/hc/en-us/requests/new","how-it-works":"How it works","countries":{"iso-to-name":{"fr":"Français","en":"English","es":"Español","de":"Deutsche","pt":"Português","ja":"日本語","ru":"Русский","zh":"中文（简体）","zht":"正體中文"}},"expired":"Expired","sign-up":"Join now","community-stats":"Community Stats","play":"Play","pause":"Pause","next":"Next","get-on-steam":"Get it on Steam","previous":"Previous","match-history":"Match History","news-long":"Stats from the Fog","news":"News","archives":"Archives","discount-starting-at":"Starting at {{discount}}"}}}},"initialLocale":"en","ns":["common"],"userConfig":{"i18n":{"locales":["en","fr","es","de","pt","ja","zh","zht","ru"],"defaultLocale":"en","localeDetection":false,"defaultNS":"common"}}}},"__N_SSG":true},"page":"/404","query":{},"buildId":"6Hqk93ZVdjhfVax8eyIdH","isFallback":false,"gsp":true,"scriptLoader":[]}</script></body></html>
2026.07.20 13:05:46 | __main__ | ERROR | unsupported type for timedelta seconds component: NoneType
2026.07.20 13:05:47 | core.services.services | INFO | All Available matches saved.
2026.07.20 13:17:03 | core.services.services | INFO | Match 1784541719 Mikaela Reid saved.
2026.07.20 13:17:04 | core.services.services | INFO | All Available matches saved.
2026.07.20 13:28:22 | core.services.services | INFO | Match 1784542350 Mikaela Reid saved.
2026.07.20 13:28:22 | core.services.services | INFO | All Available matches saved.
2026.07.20 13:39:42 | core.services.services | INFO | All Available matches saved.
2026.07.20 13:50:58 | core.services.services | INFO | Match 1784543152 Mikaela Reid saved.
2026.07.20 13:50:58 | core.services.services | INFO | All Available matches saved.
